code,dispensing_patients
B84006,0
B84007,0
B84008,0
B84009,0
B84010,0
B84011,0
B84012,0
B84013,0
B84014,0
B84016,0
B84017,0
B84019,0
B84021,0
B84610,0
B84612,0
B84613,0
B84615,0
B84618,0
B84623,0
B85001,0
B85002,0
B85004,0
B85005,0
B85006,0
B85008,0
B85009,0
B85010,0
B85012,0
B85014,0
B85015,0
B85016,0
B85018,0
B85019,0
B85020,0
B85021,0
B85022,0
B85023,0
B85024,0
B85025,0
B85026,0
B85027,0
B85028,0
B85030,0
B85031,0
B85032,0
B85033,0
B85036,0
B85037,0
B85038,0
B85041,0
B85042,0
B85044,0
B85048,0
B85051,0
B85054,0
B85055,0
B85058,0
B85059,0
B85060,0
B85061,0
B85062,0
B85606,0
B85610,2577
B85611,0
B85612,0
B85614,0
B85619,0
B85620,0
B85621,0
B85622,0
B85623,0
B85634,0
B85636,0
B85638,0
B85640,0
B85641,0
B85645,0
B85646,0
B85650,0
B85652,0
B85655,0
B85657,0
B85658,0
B85659,0
B85660,0
B86001,0
B86002,0
B86003,0
B86004,0
B86005,0
B86006,0
B86007,0
B86008,0
B86009,1734
B86010,5797
B86011,0
B86012,0
B86013,0
B86014,0
B86015,0
B86016,0
B86017,0
B86018,0
B86019,0
B86020,0
B86022,0
B86023,0
B86024,0
B86025,0
B86028,0
B86029,0
B86030,0
B86031,0
B86032,0
B86033,0
B86034,0
B86035,0
B86036,1074
B86037,0
B86038,0
B86039,0
B86041,0
B86042,0
B86043,0
B86044,0
B86047,0
B86048,3876
B86049,0
B86050,0
B86051,0
B86052,0
B86054,0
B86055,0
B86056,0
B86057,0
B86058,0
B86059,0
B86060,0
B86061,0
B86062,0
B86064,0
B86066,0
B86067,0
B86068,0
B86069,0
B86070,0
B86071,0
B86074,0
B86075,0
B86077,0
B86081,0
B86086,0
B86089,0
B86092,0
B86093,0
B86094,0
B86095,0
B86096,0
B86100,0
B86101,0
B86103,0
B86104,0
B86106,0
B86108,0
B86109,0
B86110,0
B86623,0
B86625,1350
B86633,0
B86638,0
B86642,0
B86643,0
B86648,0
B86654,0
B86655,0
B86658,0
B86666,0
B86667,0
B86669,0
B86670,0
B86672,0
B86673,1768
B86674,0
B86675,0
B86678,0
B86681,0
B86682,0
B86684,0
B86685,0
B87001,3642
B87002,0
B87003,0
B87004,0
B87005,0
B87006,0
B87007,0
B87008,0
B87009,0
B87011,0
B87012,0
B87013,0
B87015,0
B87016,1321
B87017,0
B87018,0
B87019,0
B87020,0
B87021,0
B87022,0
B87023,0
B87025,0
B87026,0
B87027,0
B87028,0
B87029,0
B87030,2837
B87031,0
B87032,0
B87033,0
B87036,0
B87039,0
B87040,0
B87041,0
B87042,0
B87044,0
B87600,0
B87602,0
B87604,0
B87614,0
B87616,0
C81001,0
C81002,0
C81003,0
C81004,0
C81005,0
C81006,0
C81007,0
C81008,0
C81009,0
C81010,0
C81012,0
C81013,3991
C81014,0
C81015,0
C81016,2045
C81017,2497
C81018,3423
C81019,0
C81020,0
C81021,0
C81022,0
C81023,0
C81025,0
C81026,0
C81027,0
C81028,0
C81029,0
C81030,2650
C81031,0
C81032,0
C81033,0
C81034,0
C81035,0
C81036,0
